alto_id,pro_name,price
'31426676','Church Place, Pwllheli','125000.00'
'31494531','North Street, Pwllheli','89999.00'
'31663261','Y Maes, Criccieth','475000.00'
'31863881','Sand Street, Pwllheli','149950.00'
'32009402','Stryd Y Ffynnon, Nefyn','135000.00'
'32009486','Clynnogfawr, Caernarfon','475000.00'
'32210160','Penlan Street, Pwllheli -Planning for Conversion to Residential Dwelling','100000.00'
'32283321','Caernarfon Road, Pwllheli','138000.00'
'32422240','Rhes Mitre, Pwllheli','90000.00'
'32492128','Rhydyclafdy','380000.00'
'32576550','New Street, Pwllheli','159995.00'
'32618893','Victoria Parade, Pwllheli','445000.00'
'32623789','Boduan, Pwllheli','160000.00'
'32743381','Lon Groesffordd, Edern, Pwllheli','350000.00'
'32779022','Y Maes, Criccieth','455000.00'
'32910115','Y Ffor, Pwllheli','136000.00'
'32948286','Pistyll, Pwllheli','459999.00'
'33059629','Cae Hendy, Llanbedrog','195000.00'
'33081470','Trefor, Caernarfon','189000.00'
'33090512','Lon Penrhos, Morfa Nefyn, Pwllheli','475000.00'
'33090599','Llwyn Gwalch Estate, Morfa Nefyn, Pwllheli','290000.00'
'33166334','Pencaenewydd, Pwllheli','370000.00'
'33189995','Pentreuchaf, Pwllheli','390000.00'
'33194338','Mynydd Glas, Garndolbenmaen','225000.00'
'33235368','Llanbedrog, Pwllheli','144950.00'
'33235747','Penlan Street, Pwllheli','165000.00'
'33237346','Penlan Street, Pwllheli','265000.00'
'33241203','Stryd Y Plas, Nefyn, Pwllheli','95000.00'
'33266350','Bryncroes, Pwllheli','275000.00'
'33353819','Llanbedrog, Pwllheli','549000.00'
'33372293','Fron Hyfryd Terrace, Llithfaen, Pwllheli','169950.00'
'33395056','Investment Property - High Street, Criccieth','380000.00'
'33613520','Plas Tanrallt, Pwllheli','285000.00'
'33613537','Fron Hyfryd Terrace, Llithfaen','103000.00'
'33615681','Stryd Fawr, Pwllheli','160000.00'
'33619084','Llanbedrog, Pwllheli','259995.00'
'33660211','8 Church Place, Pwllheli','199950.00'
'33666152','Victoria Parade, Pwllheli','285000.00'
'33670190','Llwynhudol, Pwllheli','475000.00'
'33697269','Caernarfon Road, Pwllheli','280000.00'
'33718673','Lon Golff, Pwllheli','649950.00'
'33757608','Lon Tyn Y Mur, Morfa Nefyn, Pwllheli','300000.00'
'33816648','Siop Gwallt Karen, 4 Upper Ala Road, Pwllheli','49950.00'
'33823523','12 Innes Estate, Pwllheli','750000.00'
'33825870','Lleyn Street, Pwllheli','350000.00'
'33869569','Stad Llwynaethnen, Trefor, Caernarfon','135000.00'
'33889887','Criccieth','249000.00'
'33908969','Glan Y Pwll, Nefyn, Pwllheli','189995.00'
'33919157','Penrhyndeudraeth','220000.00'
'33926538','Ala Road, Pwllheli','595000.00'
'33932846','Llangwnadl, Pwllheli','325000.00'
'33939660','Y Fron, Nefyn, Pwllheli','149000.00'
'33962762','Y Maes, Nefyn, Pwllheli','280000.00'
'33971307','Lon Uchaf, Morfa Nefyn','595000.00'
'33980831','Chwilog, Pwllheli','375000.00'
'34022915','Lleyn Street, Pwllheli','245000.00'
'34045015','High Street, Nefyn, Pwllheli','193000.00'
'34055136','Ffordd Caernarfon, Pwllheli','155000.00'
'34071437','Gwaen Ganol, Criccieth','395000.00'
'34074477','Lleyn Street, Pwllheli','250000.00'
'34092446','Boduan, Pwllheli','790000.00'
'34124498','29-31 Castle Street, Criccieth','329000.00'
'34125048','Lon Pin, Llanbedrog','795000.00'
'34145016','Cae Hendy, Llanbedrog','199500.00'
'34152006','Garnfadryn, Pwllheli','299999.00'
'34164852','Ala Road, Pwllheli','420000.00'
'34171192','Aberdaron, Pwllheli','425000.00'
'34174316','Bryn Ffynnon, Llanaelhaearn, Caernarfon','99995.00'
'34179877','5 West End Parade, Pwllheli','184995.00'
'34184241','Awel Y Grug, Porthmadog','225000.00'
'34185840','Lon Penrhos, Morfa Nefyn','280000.00'
'34188868','Llangwnadl, Pwllheli','800.00'
'34194646','Rhosfawr, Pwllheli','195000.00'
'34236782','Min Y Mor, Pwllheli','325000.00'
'34249832','Llithfaen, Pwllheli','289500.00'
'34250160','Craig Madog, Tremadog, Porthmadog','900.00'
'34257863','Gyrn Goch, Caernarfon','200000.00'
'34274200','Baptist Square, Pwllheli','179950.00'
'34280148','Llangybi, Pwllheli','465000.00'
'34301787','Ffordd Caernarfon, Pwllheli','700.00'
'34307822','Penrhydlyniog, Pwllheli','178000.00'
'34312837','1B Ala Road, Pwllheli','4500.00'
'34330556','Abererch Road, Pwllheli','92500.00'
'34341719','Llanengan, Pwllheli','850.00'
'34346583','Bron Eifion, Criccieth','750.00'
'34361490','Stad Ty Cerrig, Nefyn, Pwllheli','235000.00'
'34362034','Llys Madryn, Lon Uchaf, Morfa Nefyn','895000.00'
'34362584','Victoria Parade, Pwllheli','325000.00'
'34366296','Eifl Road, Trefor','139500.00'
'34371243','Stad Llwynaethnen, Trefor','199995.00'
'34427464','Bryn Glas, Nefyn','250000.00'
'34428598','Pistyll','398500.00'
'34457818','Abererch Road, Pwllheli','227500.00'
'34462039','Lime Street, Trefor','148500.00'
'34487766','Stad Llwynaethnen, Trefor','199995.00'
'34488531','Rhandir, Abererch','349500.00'
'34503242','Siop Yr Efail, Efailnewydd','150000.00'
